gene_name,oncogenicCategory,editor,edit_date
CDK12,Tumor Suppressor Gene,loader,2020-04-22-17-26-05-398385
CDK4,Oncogene,loader,2020-04-22-17-26-08-878850
CDK6,Oncogene,loader,2020-04-22-17-26-11-719241
CDK8,Oncogene,loader,2020-04-22-17-26-13-865554
CDKN1A,Both,loader,2020-04-22-17-26-18-237584
CDKN1B,Tumor Suppressor Gene,loader,2020-04-22-17-26-20-992235
CDKN2A,Tumor Suppressor Gene,loader,2020-04-22-17-26-24-107686
CDKN2B,Tumor Suppressor Gene,loader,2020-04-22-17-26-25-828448
CDKN2C,Tumor Suppressor Gene,loader,2020-04-22-17-26-28-794265
CEBPA,Tumor Suppressor Gene,loader,2020-04-22-17-26-31-300896
CENPA,Neither,loader,2020-04-22-17-26-40-336192
CHD2,Tumor Suppressor Gene,loader,2020-04-22-17-26-43-215128
CHD4,Oncogene,loader,2020-04-22-17-26-45-582728
CHEK1,Tumor Suppressor Gene,loader,2020-04-22-17-26-48-196636
CHEK2,Oncogene,loader,2020-04-22-17-26-51-316650
CIC,Both,loader,2020-04-22-17-26-53-219292
COP1,Neither,loader,2020-04-22-17-45-53-077073
CREBBP,Both,loader,2020-04-22-17-27-01-130956
CRKL,Oncogene,loader,2020-04-22-17-27-04-578354
CRLF2,Oncogene,loader,2020-04-22-17-27-06-147071
CSF1R,Oncogene,loader,2020-04-22-17-27-10-118028
CSF3R,Oncogene,loader,2020-04-22-17-27-12-612340
CSNK1A1,Neither,loader,2020-04-22-17-27-15-853911
CSNK2A1,Oncogene,loader,2020-04-22-17-27-23-908295
CTAG1B,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-26-766182
CTAG2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-30-260614
CTCF,Tumor Suppressor Gene,loader,2020-04-22-17-27-29-029269
CTLA4,Neither,loader,2020-04-22-17-27-31-290033
CTNNA1,Neither,loader,2020-04-22-17-27-34-436934
CTNNB1,Oncogene,loader,2020-04-22-17-27-43-598318
CUL3,Tumor Suppressor Gene,loader,2020-04-22-17-28-00-408736
CUX1,Both,loader,2020-04-22-17-28-05-076361
CXCL10,Neither,loader,2020-04-22-17-28-08-962276
CXCR2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-38-558693
CXCR4,Oncogene,loader,2020-04-22-17-28-14-627255
CXCR6,Neither,loader,2020-04-22-17-28-16-457786
CYLD,Tumor Suppressor Gene,loader,2020-04-22-17-28-24-478082
DAXX,Both,loader,2020-04-22-17-28-29-815776
DCUN1D1,Oncogene,loader,2020-04-22-17-28-32-863909
DDR2,Oncogene,loader,2020-04-22-17-28-36-294021
DDX41,Neither,loader,2020-04-22-17-28-38-831476
DDX58,Neither,loader,2020-04-22-17-28-42-178675
DHX15,Neither,loader,2020-04-22-17-28-43-999292
DICER1,Tumor Suppressor Gene,loader,2020-04-22-17-28-46-458140
DIS3,Neither,loader,2020-04-22-17-28-48-021250
DNAJB1,Neither,loader,2020-04-22-17-28-50-190868
DNMT1,Neither,loader,2020-04-22-17-28-52-977804
DNMT3A,Oncogene,loader,2020-04-22-17-28-55-052712
DNMT3B,Neither,loader,2020-04-22-17-28-57-988068
DOT1L,Neither,loader,2020-04-22-17-29-00-509580
E2F3,Neither,loader,2020-04-22-17-29-02-082632
EED,Tumor Suppressor Gene,loader,2020-04-22-17-29-03-946552
EGFL7,Neither,loader,2020-04-22-17-29-06-289964
EGFR,Oncogene,loader,2020-04-22-17-29-14-591232
EIF1AX,Neither,loader,2020-04-22-17-29-17-499035
EIF4A2,Neither,loader,2020-04-22-17-29-20-136898
EIF4E,Neither,loader,2020-04-22-17-29-23-005857
ELOC,Neither,loader,2020-04-22-17-49-23-077889
EML4,Neither,loader,2020-04-22-17-29-24-625221
EMSY,Neither,loader,2020-04-22-17-24-19-695748
ENTPD1,Neither,loader,2020-04-22-17-29-27-054319
EP300,Tumor Suppressor Gene,loader,2020-04-22-17-29-37-605662
EPCAM,Neither,loader,2020-04-22-17-29-41-188854
EPHA3,Neither,loader,2020-04-22-17-29-43-136086
EPHA5,Neither,loader,2020-04-22-17-29-44-673328
EPHA7,Neither,loader,2020-04-22-17-29-46-986931
EPHB1,Neither,loader,2020-04-22-17-29-49-118703
ERBB2,Oncogene,loader,2020-04-22-17-29-52-131380
ERBB3,Oncogene,loader,2020-04-22-17-29-55-326032
ERBB4,Oncogene,loader,2020-04-22-17-29-58-944542
ERCC1,Neither,loader,2020-04-22-17-30-00-706329
ERCC2,Tumor Suppressor Gene,loader,2020-04-22-17-30-03-373946
ERCC3,Tumor Suppressor Gene,loader,2020-04-22-17-30-05-550218
ERCC4,Tumor Suppressor Gene,loader,2020-04-22-17-30-08-122994
ERCC5,Tumor Suppressor Gene,loader,2020-04-22-17-30-09-912124
ERG,Oncogene,loader,2020-04-22-17-30-11-704325
ERRFI1,Neither,loader,2020-04-22-17-30-13-223350
ESR1,Oncogene,loader,2020-04-22-17-30-16-760912
ETS1,Oncogene,loader,2020-04-22-17-30-18-916280
ETV1,Oncogene,loader,2020-04-22-17-30-21-338927
ETV4,Oncogene,loader,2020-04-22-17-30-22-853504
ETV5,Oncogene,loader,2020-04-22-17-30-24-563274
ETV6,Tumor Suppressor Gene,loader,2020-04-22-17-30-26-386935
EWSR1,Oncogene,loader,2020-04-22-17-30-28-761196
EZH2,Oncogene,loader,2020-04-22-17-30-32-567203
FANCA,Tumor Suppressor Gene,loader,2020-04-22-17-30-41-722470
FANCC,Tumor Suppressor Gene,loader,2020-04-22-17-30-43-172369
FANCD2,Tumor Suppressor Gene,loader,2020-04-22-17-30-45-664711
FANCE,Tumor Suppressor Gene,loader,2020-04-22-17-30-47-368648
FANCF,Tumor Suppressor Gene,loader,2020-04-22-17-30-48-947307
FANCG,Tumor Suppressor Gene,loader,2020-04-22-17-30-50-580804
FANCI,Tumor Suppressor Gene,loader,2020-04-22-17-30-52-515635
FANCL,Tumor Suppressor Gene,loader,2020-04-22-17-30-56-614660
FAS,Tumor Suppressor Gene,loader,2020-04-22-17-31-00-143048
FAT1,Tumor Suppressor Gene,loader,2020-04-22-17-31-01-834208
FBXW7,Tumor Suppressor Gene,loader,2020-04-22-17-31-10-374080
FGF1,Oncogene,loader,2020-04-22-17-31-15-575866
FGF10,Oncogene,loader,2020-04-22-17-31-18-317079
FGF14,Oncogene,loader,2020-04-22-17-31-20-547168
FGF19,Oncogene,loader,2020-04-22-17-31-21-981495
FGF2,Oncogene,loader,2020-04-22-17-31-25-776011
FGF23,Oncogene,loader,2020-04-22-17-31-27-431389
FGF3,Oncogene,loader,2020-04-22-17-31-29-608934
FGF4,Oncogene,loader,2020-04-22-17-31-31-013169
FGF5,Oncogene,loader,2020-04-22-17-31-32-591693
FGF6,Oncogene,loader,2020-04-22-17-31-34-100629
FGF7,Oncogene,loader,2020-04-22-17-31-35-542115
FGF8,Oncogene,loader,2020-04-22-17-31-38-153584
FGF9,Oncogene,loader,2020-04-22-17-31-40-685212
FGFR1,Oncogene,loader,2020-04-22-17-31-43-175843
FGFR2,Oncogene,loader,2020-04-22-17-31-45-408927
FGFR3,Oncogene,loader,2020-04-22-17-31-47-895666
FGFR4,Oncogene,loader,2020-04-22-17-31-49-711171
FH,Tumor Suppressor Gene,loader,2020-04-22-17-31-52-233116
FLCN,Tumor Suppressor Gene,loader,2020-04-22-17-31-58-880751
FLI1,Oncogene,loader,2020-04-22-17-32-03-170551
FLT1,Neither,loader,2020-04-22-17-32-05-871883
FLT3,Oncogene,loader,2020-04-22-17-32-08-665677
FLT4,Oncogene,loader,2020-04-22-17-32-10-515654
FOXA1,Oncogene,loader,2020-04-22-17-32-12-773564
FOXL2,Oncogene,loader,2020-04-22-17-32-14-443306
FOXO1,Both,loader,2020-04-22-17-32-16-938145
FOXP1,Oncogene,loader,2020-04-22-17-32-21-971844
FOXP3,Neither,loader,2020-04-22-17-32-26-537807
FRS2,Neither,loader,2020-04-22-17-32-28-883980
FUBP1,Oncogene,loader,2020-04-22-17-32-30-310458
FYN,Oncogene,loader,2020-04-22-17-32-32-805334
GABRA6,Neither,loader,2020-04-22-17-32-34-229034
GAS6,Oncogene,loader,2020-04-22-17-32-36-666010
GATA1,Both,loader,2020-04-22-17-32-38-757556
GATA2,Oncogene,loader,2020-04-22-17-32-40-764000
GATA3,Tumor Suppressor Gene,loader,2020-04-22-17-32-42-735723
GATA4,Neither,loader,2020-04-22-17-32-46-846676
GATA6,Neither,loader,2020-04-22-17-32-53-161274
GEN1,Neither,loader,2020-04-22-17-32-59-024333
GID4,Neither,loader,2020-04-22-17-33-02-030308
GLI1,Oncogene,loader,2020-04-22-17-33-07-289247
GNA11,Oncogene,loader,2020-04-22-17-33-09-504852
GNA13,Neither,loader,2020-04-22-17-33-13-668606
GNAQ,Oncogene,loader,2020-04-22-17-33-15-825485
GNAS,Oncogene,loader,2020-04-22-17-33-18-541094
GPS2,Tumor Suppressor Gene,loader,2020-04-22-17-33-25-456963
GREM1,Neither,loader,2020-04-22-17-33-28-416259
GRIN2A,Tumor Suppressor Gene,loader,2020-04-22-17-33-32-128066
GRM3,Oncogene,loader,2020-04-22-17-33-33-921183
GSK3B,Neither,loader,2020-04-22-17-33-38-678673
GZMB,Neither,loader,2020-04-22-17-33-41-121022
H1-2,Neither,loader,2020-04-22-17-33-59-647016
H2BC5,Neither,loader,2020-04-22-17-34-01-499403
H3-3A,Oncogene,loader,2020-04-22-17-33-43-782919
H3-3B,Oncogene,loader,2020-04-22-17-33-47-215337
H3-4,Neither,loader,2020-04-22-17-34-35-561132
H3-5,Neither,loader,2020-04-22-17-33-48-720552
H3C1,Neither,loader,2020-04-22-17-34-04-122361
H3C10,Neither,loader,2020-04-22-17-34-19-376117
H3C11,Neither,loader,2020-04-22-17-34-22-405349
H3C12,Neither,loader,2020-04-22-17-34-25-386471
H3C13,Neither,loader,2020-04-22-17-34-33-381307
H3C14,Neither,loader,2020-04-22-17-34-30-506850
H3C15,Neither,loader,2020-04-22-17-34-27-833802
H3C2,Oncogene,loader,2020-04-22-17-34-06-683474
H3C6,Neither,loader,2020-04-22-17-34-09-632740
H3C7,Neither,loader,2020-04-22-17-34-13-104969
H3C8,Neither,loader,2020-04-22-17-34-16-147782
HAVCR2,Neither,loader,2020-04-22-17-33-54-524555
HGF,Neither,loader,2020-04-22-17-33-58-090452
HLA-A,Neither,loader,2020-04-22-17-34-53-250499
HNF1A,Oncogene,loader,2020-04-22-17-34-58-239850
HNRNPK,Neither,loader,2020-04-22-17-35-01-056960
HOXB13,Neither,loader,2020-04-22-17-35-03-561102
HRAS,Oncogene,loader,2020-04-22-17-35-07-972070
HSD3B1,Neither,loader,2020-04-22-17-35-10-271888
HSP90AA1,Neither,loader,2020-04-22-17-35-16-957137
ICOS,Neither,loader,2020-04-22-17-35-19-292158
ICOSLG,Neither,loader,2020-04-22-17-35-21-516511
ID3,Tumor Suppressor Gene,loader,2020-04-22-17-35-23-087141
IDH1,Oncogene,loader,2020-04-22-17-35-26-227208
IDH2,Oncogene,loader,2020-04-22-17-35-28-854913
IDO1,Neither,loader,2020-04-22-17-35-32-744768
IFITM1,Oncogene,loader,2020-04-22-17-35-34-796054
IFITM3,Oncogene,loader,2020-04-22-17-35-36-865067
IFNG,Neither,loader,2020-04-22-17-35-39-129677
IFNGR1,Neither,loader,2020-04-22-17-35-42-048749
IGF1,Neither,loader,2020-04-22-17-35-46-657029
IGF1R,Oncogene,loader,2020-04-22-17-35-50-464759
IGF2,Neither,loader,2020-04-22-17-35-53-592149
IKBKE,Neither,loader,2020-04-22-17-35-55-789646
IKZF1,Tumor Suppressor Gene,loader,2020-04-22-17-35-58-707152
IL10,Neither,loader,2020-04-22-17-36-02-225096
IL1B,Neither,loader,2020-04-22-17-36-05-639597
IL6,Oncogene,loader,2020-04-22-17-36-08-404163
IL7R,Oncogene,loader,2020-04-22-17-36-11-075220
INHA,Neither,loader,2020-04-22-17-36-12-536262
INHBA,Neither,loader,2020-04-22-17-36-14-459218
INPP4A,Neither,loader,2020-04-22-17-36-17-632538
INPP4B,Neither,loader,2020-04-22-17-36-21-160279
INSR,Neither,loader,2020-04-22-17-36-25-319400
IRF2,Neither,loader,2020-04-22-17-36-27-918153
IRF4,Both,loader,2020-04-22-17-36-30-684843
IRS1,Neither,loader,2020-04-22-17-36-32-823005
IRS2,Neither,loader,2020-04-22-17-36-34-639538
JAK1,Oncogene,loader,2020-04-22-17-36-37-455842
JAK2,Oncogene,loader,2020-04-22-17-36-41-970891
JAK3,Oncogene,loader,2020-04-22-17-36-44-292974
JUN,Oncogene,loader,2020-04-22-17-36-48-303372
KAT6A,Oncogene,loader,2020-04-22-17-36-50-804638
KDM5A,Oncogene,loader,2020-04-22-17-36-54-354982
KDM5C,Tumor Suppressor Gene,loader,2020-04-22-17-36-56-947953
KDM6A,Both,loader,2020-04-22-17-37-00-236351
KDR,Oncogene,loader,2020-04-22-17-37-04-248223
KEAP1,Tumor Suppressor Gene,loader,2020-04-22-17-37-11-442354
KEL,Neither,loader,2020-04-22-17-37-15-098926
KIF5B,Neither,loader,2020-04-22-17-37-17-919952
KIT,Oncogene,loader,2020-04-22-17-37-20-745492
KLF4,Both,loader,2020-04-22-17-37-23-277668
KLHL6,Neither,loader,2020-04-22-17-37-24-816499
KLRD1,Neither,loader,2020-04-22-17-37-27-039836
KMT2A,Neither,loader,2020-04-22-17-39-16-192846
KMT2B,Neither,loader,2020-04-22-17-37-29-451642
KMT2C,Tumor Suppressor Gene,loader,2020-04-22-17-37-32-236569
KMT2D,Both,loader,2020-04-22-17-37-35-531531
KNSTRN,Oncogene,loader,2020-04-22-17-37-39-355415
KRAS,Oncogene,loader,2020-04-22-17-37-43-640869
LAG3,Neither,loader,2020-04-22-17-37-47-039823
LAMP1,Neither,loader,2020-04-22-17-37-48-969134
LATS1,Tumor Suppressor Gene,loader,2020-04-22-17-37-51-961094
LATS2,Tumor Suppressor Gene,loader,2020-04-22-17-37-54-390396
LMO1,Oncogene,loader,2020-04-22-17-37-55-968843
LRP1B,Tumor Suppressor Gene,loader,2020-04-22-17-37-58-716214
LYN,Oncogene,loader,2020-04-22-17-38-00-932366
LZTR1,Tumor Suppressor Gene,loader,2020-04-22-17-38-04-051558
MAGEA1,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-57-373970
MAGEA3,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-15-59-825060
MAGEA4,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-03-230723
MAGI2,Neither,loader,2020-04-22-17-38-06-596314
MAGOH,Oncogene,loader,2020-04-22-17-38-08-988109
MALT1,Oncogene,loader,2020-04-22-17-38-11-789326
MAP2K1,Oncogene,loader,2020-04-22-17-38-14-422318
MAP2K2,Oncogene,loader,2020-04-22-17-38-16-552663
MAP2K4,Both,loader,2020-04-22-17-38-18-847988
MAP3K1,Both,loader,2020-04-22-17-38-21-449166
MAP3K13,Both,loader,2020-04-22-17-38-23-165902
MAP3K4,Neither,loader,2020-04-22-17-38-25-176646
MAPK1,Oncogene,loader,2020-04-22-17-38-28-800064
MAPK3,Neither,loader,2020-04-22-17-38-31-582022
MAX,Oncogene,loader,2020-04-22-17-38-34-618513
MCL1,Oncogene,loader,2020-04-22-17-38-37-200401
MDC1,Neither,loader,2020-04-22-17-38-39-384372
MDM2,Oncogene,loader,2020-04-22-17-38-48-488749
MDM4,Oncogene,loader,2020-04-22-17-38-52-349483
MED12,Oncogene,loader,2020-04-22-17-38-54-548117
MEF2B,Neither,loader,2020-04-22-17-38-55-967701
MEN1,Tumor Suppressor Gene,loader,2020-04-22-17-38-58-514751
MET,Oncogene,loader,2020-04-22-17-39-02-363874
MGA,Neither,loader,2020-04-22-17-39-04-813862
MITF,Oncogene,loader,2020-04-22-17-39-07-194602
MLH1,Tumor Suppressor Gene,loader,2020-04-22-17-39-10-571665
MLLT3,Neither,loader,2020-04-22-17-39-21-707214
MPL,Oncogene,loader,2020-04-22-17-39-24-788271
MRE11,Neither,loader,2020-04-22-17-39-32-811577
MS4A1,Neither,loader,2020-04-22-17-39-36-075620
MSH2,Tumor Suppressor Gene,loader,2020-04-22-17-39-39-768040
MSH3,Neither,loader,2020-04-22-17-39-41-755859
MSH6,Tumor Suppressor Gene,loader,2020-04-22-17-39-44-238172
MST1,Neither,loader,2020-04-22-17-39-46-200045
MST1R,Neither,loader,2020-04-22-17-39-48-404524
MTOR,Oncogene,loader,2020-04-22-17-40-01-098266
MUTYH,Tumor Suppressor Gene,loader,2020-04-22-17-40-07-073417
MX1,Neither,loader,2020-04-22-17-40-09-851109
MYB,Oncogene,loader,2020-04-22-17-40-11-914463
MYC,Oncogene,loader,2020-04-22-17-40-14-843626
MYCL,Neither,loader,2020-04-22-17-40-18-250907
MYCL,Neither,loader,2020-04-22-17-40-18-250907
MYCN,Oncogene,loader,2020-04-22-17-40-20-190488
MYD88,Oncogene,loader,2020-04-22-17-40-27-501184
MYO18A,Oncogene,loader,2020-04-22-17-40-32-134773
MYOD1,Oncogene,loader,2020-04-22-17-40-35-788677
NAB2,Tumor Suppressor Gene,loader,2020-04-22-17-40-37-618727
NBN,Tumor Suppressor Gene,loader,2020-04-22-17-40-40-123198
NCOA3,Neither,loader,2020-04-22-17-40-41-921169
NCOR1,Tumor Suppressor Gene,loader,2020-04-22-17-40-44-320243
NECTIN2,Neither,Carrie.Hoefer@omniseq.com,2020-04-22-18-16-09-478140
NEGR1,Neither,loader,2020-04-22-17-40-46-039532
NF1,Tumor Suppressor Gene,loader,2020-04-22-17-40-48-596181
NF2,Tumor Suppressor Gene,loader,2020-04-22-17-40-50-668597
NFE2L2,Oncogene,loader,2020-04-22-17-40-55-419980
NFKBIA,Neither,loader,2020-04-22-17-40-58-096807
NKX2-1,Oncogene,loader,2020-04-22-17-41-00-477980
NKX2-8,Oncogene,loader,2020-04-22-17-41-01-891785
NKX3-1,Neither,loader,2020-04-22-17-41-04-461516
NOTCH1,Tumor Suppressor Gene,loader,2020-04-22-17-41-07-695897
NOTCH2,Both,loader,2020-04-22-17-41-11-940549
NOTCH3,Tumor Suppressor Gene,loader,2020-04-22-17-41-15-198871
NOTCH4,Oncogene,loader,2020-04-22-17-41-17-027464
NPM1,Oncogene,loader,2020-04-22-17-41-20-727515
NRAS,Oncogene,loader,2020-04-22-17-41-23-759444
NRG1,Tumor Suppressor Gene,loader,2020-04-22-17-41-26-716967
NSD1,Neither,loader,2020-04-22-17-41-28-436400
NTRK1,Oncogene,loader,2020-04-22-17-41-32-775919
NTRK2,Oncogene,loader,2020-04-22-17-41-35-828468
NTRK3,Oncogene,loader,2020-04-22-17-41-37-665517
NUP93,Neither,loader,2020-04-22-17-41-40-322370
NUTM1,Oncogene,loader,2020-04-22-17-41-42-754877
PAK1,Neither,loader,2020-04-22-17-41-45-888535
PAK3,Neither,loader,2020-04-22-17-41-48-069952
PAK5,Neither,loader,2020-04-22-17-41-49-904315
PALB2,Tumor Suppressor Gene,loader,2020-04-22-17-41-55-805781
PARP1,Neither,loader,2020-04-22-17-42-20-242961
PAX3,Oncogene,loader,2020-04-22-17-42-23-782237
PAX5,Oncogene,loader,2020-04-22-17-42-26-553852
PAX7,Neither,loader,2020-04-22-17-42-28-656652
PAX8,Neither,loader,2020-04-22-17-42-30-240267
PBRM1,Tumor Suppressor Gene,loader,2020-04-22-17-42-33-191529
PDCD1,Neither,loader,2020-04-22-17-42-36-411006
PDCD1LG2,Oncogene,loader,2020-04-22-17-42-38-551128
PDGFRA,Oncogene,loader,2020-04-22-17-42-41-213828
PDGFRB,Oncogene,loader,2020-04-22-17-42-43-741668
PDK1,Neither,loader,2020-04-22-17-42-46-104464
PDPK1,Neither,loader,2020-04-22-17-42-48-353668
PGR,Neither,loader,2020-04-22-17-42-50-740170
PHF6,Tumor Suppressor Gene,loader,2020-04-22-17-42-52-173399
PHOX2B,Tumor Suppressor Gene,loader,2020-04-22-17-42-54-384120
PIK3C2B,Neither,loader,2020-04-22-17-42-56-004643
PIK3C2G,Neither,loader,2020-04-22-17-42-58-256285
PIK3C3,Neither,loader,2020-04-22-17-43-00-615569
PIK3CA,Oncogene,loader,2020-04-22-17-43-03-746744
PIK3CB,Oncogene,loader,2020-04-22-17-43-06-066601
PIK3CD,Neither,loader,2020-04-22-17-43-07-767333
PIK3CG,Neither,loader,2020-04-22-17-43-09-827606
PIK3R1,Tumor Suppressor Gene,loader,2020-04-22-17-43-13-616136
PIK3R2,Neither,loader,2020-04-22-17-43-17-166564
PIK3R3,Neither,loader,2020-04-22-17-43-19-621067
PIM1,Oncogene,loader,2020-04-22-17-43-22-694512
PLCG2,Neither,loader,2020-04-22-17-43-24-277752
PLK2,Neither,loader,2020-04-22-17-43-25-754806
PMAIP1,Neither,loader,2020-04-22-17-43-27-472935
PMS1,Neither,loader,2020-04-22-17-43-29-297941
PMS2,Tumor Suppressor Gene,loader,2020-04-22-17-43-31-363667
PNP,Oncogene,loader,2020-04-22-17-43-33-809121
PNRC1,Neither,loader,2020-04-22-17-43-35-324532
POLD1,Tumor Suppressor Gene,loader,2020-04-22-17-43-42-506304
POLE,Tumor Suppressor Gene,loader,2020-04-22-17-43-46-851083
PPARG,Oncogene,loader,2020-04-22-17-43-49-941045
PPM1D,Oncogene,loader,2020-04-22-17-43-53-818370
PPP2R1A,Oncogene,loader,2020-04-22-17-43-57-558294
